,acc
0,0.3333333333333333
1,1.0
2,1.0
3,0.3333333333333333
4,1.0
5,0.3333333333333333
6,1.0
7,1.0
8,0.6666666666666666
9,1.0
10,1.0
11,1.0
12,0.1111111111111111
13,0.0
14,0.3333333333333333
15,0.0
16,0.0
17,1.0
18,1.0
19,0.0
20,0.1111111111111111
21,0.0
22,1.0
23,1.0
24,0.6666666666666666
25,0.2222222222222222
26,1.0
27,0.6666666666666666
28,0.5555555555555556
29,1.0
30,0.1111111111111111
31,0.3333333333333333
32,0.3333333333333333
33,1.0
34,0.3333333333333333
35,0.0
36,0.7777777777777778
37,1.0
38,1.0
39,0.1111111111111111
40,0.0
41,1.0
42,0.3333333333333333
43,0.3333333333333333
44,1.0
45,0.3333333333333333
46,0.0
47,1.0
48,0.7777777777777778
49,1.0
50,0.2222222222222222
51,0.7777777777777778
52,0.3333333333333333
53,1.0
54,0.3333333333333333
55,0.3333333333333333
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.0
63,0.0
64,1.0
65,0.1111111111111111
66,0.5555555555555556
67,1.0
68,0.0
69,0.1111111111111111
70,0.0
71,0.0
72,0.0
73,1.0
74,0.2222222222222222
75,1.0
76,0.3333333333333333
77,0.1111111111111111
78,0.3333333333333333
79,0.0
80,1.0
81,1.0
82,0.0
83,0.7777777777777778
84,1.0
85,0.3333333333333333
86,1.0
87,1.0
88,0.0
89,1.0
90,1.0
91,0.0
92,1.0
93,0.0
94,0.0
95,0.0
96,1.0
97,1.0
98,1.0
99,0.0
100,1.0
101,1.0
102,0.0
103,0.0
104,1.0
105,0.3333333333333333
106,0.0
107,0.3333333333333333
108,0.0
109,1.0
110,1.0
111,1.0
112,1.0
113,0.0
114,0.0
115,0.2222222222222222
116,0.2222222222222222
117,1.0
118,0.7777777777777778
119,0.0
120,1.0
121,1.0
122,0.5555555555555556
123,0.0
124,0.0
125,1.0
126,0.7777777777777778
127,1.0
128,1.0
129,0.3333333333333333
130,0.3333333333333333
131,1.0
132,0.4444444444444444
133,0.3333333333333333
134,0.0
135,0.0
136,1.0
137,0.3333333333333333
138,0.0
139,1.0
140,1.0
141,1.0
142,0.0
143,0.1111111111111111
144,0.3333333333333333
145,1.0
146,0.0
147,0.1111111111111111
148,0.2222222222222222
149,0.0
150,0.7777777777777778
151,0.0
152,1.0
153,1.0
154,0.7777777777777778
155,0.1111111111111111
156,0.3333333333333333
157,1.0
158,0.3333333333333333
159,0.3333333333333333
160,0.0
161,0.0
162,0.5555555555555556
163,0.3333333333333333
164,1.0
165,0.3333333333333333
166,0.4444444444444444
167,0.7777777777777778
168,0.3333333333333333
169,1.0
170,0.0
171,0.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.0
177,1.0
178,0.2222222222222222
179,0.0
180,0.0
181,0.3333333333333333
182,0.0
183,1.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,1.0
191,0.0
192,0.2222222222222222
193,0.0
194,0.0
195,0.6666666666666666
196,1.0
197,0.0
198,0.0
199,1.0
200,0.0
201,0.0
202,1.0
203,1.0
204,1.0
205,0.0
206,1.0
207,0.0
208,0.3333333333333333
209,1.0
210,1.0
211,0.1111111111111111
212,0.0
213,0.3333333333333333
214,1.0
215,1.0
216,1.0
217,0.7777777777777778
218,0.1111111111111111
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,0.0
226,1.0
227,0.6666666666666666
228,0.0
229,1.0
230,0.7777777777777778
231,0.0
232,0.1111111111111111
233,1.0
234,0.1111111111111111
235,0.0
236,0.3333333333333333
237,0.0
238,1.0
239,0.3333333333333333
240,0.7777777777777778
241,0.0
242,0.1111111111111111
243,0.0
244,0.0
245,1.0
246,0.3333333333333333
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,0.0
253,1.0
254,0.6666666666666666
255,0.0
256,1.0
257,0.2222222222222222
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,0.3333333333333333
267,0.0
268,0.3333333333333333
269,1.0
270,0.0
271,0.0
272,0.3333333333333333
273,1.0
274,0.0
275,1.0
276,0.0
277,0.3333333333333333
278,1.0
279,1.0
280,0.7777777777777778
281,0.6666666666666666
282,0.4444444444444444
283,0.0
284,0.0
285,0.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,0.0
292,0.0
293,0.0
294,0.3333333333333333
295,0.7777777777777778
296,0.3333333333333333
297,1.0
298,0.0
299,0.3333333333333333
300,1.0
301,0.0
302,0.3333333333333333
303,0.0
304,1.0
305,1.0
306,0.4444444444444444
307,0.0
308,0.0
309,0.0
310,1.0
311,0.4444444444444444
312,0.0
313,0.0
314,0.0
315,1.0
316,1.0
317,1.0
318,0.0
319,0.0
320,1.0
321,0.0
322,1.0
323,0.0
324,1.0
325,1.0
326,0.2222222222222222
327,0.0
328,1.0
329,1.0
330,0.3333333333333333
331,0.0
332,0.0
333,1.0
334,1.0
335,0.0
336,0.0
337,0.5555555555555556
338,1.0
339,1.0
340,1.0
341,0.0
342,0.6666666666666666
343,0.2222222222222222
344,1.0
345,0.0
346,1.0
347,1.0
348,0.0
349,0.4444444444444444
350,1.0
351,0.6666666666666666
352,1.0
353,0.0
354,0.3333333333333333
355,0.0
356,0.0
357,1.0
358,1.0
359,0.0
360,0.3333333333333333
361,0.0
362,0.0
363,0.0
364,1.0
365,1.0
366,0.3333333333333333
367,0.0
368,1.0
369,0.2222222222222222
370,1.0
371,1.0
372,0.0
373,0.6666666666666666
374,0.0
375,0.3333333333333333
376,0.0
377,1.0
378,1.0
379,0.0
380,1.0
381,0.1111111111111111
382,0.3333333333333333
383,0.3333333333333333
